Mod_Charge,Complement C3,Apolipoprotein A-I,Apolipoprotein E
No Modification,1.0944009,11.229618,5.192981
No Modification,1.1376096,7.1711693,2.9713805
Positive,1.2174314,3.7739182,3.0479906
Positive,1.1826627,6.3340344,3.3245025
Negative,1.4459279,3.9963982,3.9624982
Negative,1.455769,4.2082877,1.9765664
No Modification,4.29,2.04,1.02
No Modification,1.89,1.14,1.12
No Modification,2.52,1.44,0.9
No Modification,2.31,1.21,0.76
No Modification,3.46,1.92,1.42
Negative,0.11,0.0,0.0
Positive,0.04,0.0,0.07
Negative,0.83,0.0,33.18
Negative,0.78,0.0,45.31
Negative,2.72,0.0,3.46
Neutral,0.0,1.62,9.84
Neutral,0.0,1.12,9.7
Neutral,0.0,1.56,11.79
Neutral,0.0,1.66,11.83
Neutral,0.0,1.34,10.53
Neutral,0.0,2.43,10.72
Neutral,0.0,0.0,20.0
Neutral,0.0,0.0,15.12
Neutral,0.0,1.62,9.84
Neutral,0.0,1.12,9.7
Neutral,0.0,1.56,11.79
Neutral,0.0,1.66,11.83
Neutral,0.0,1.34,10.53
Neutral,0.0,2.43,10.72
Neutral,0.0,0.0,20.0
Neutral,0.0,0.0,15.12
Neutral,0.0,1.62,9.84
Neutral,0.0,1.12,9.7
Neutral,0.0,1.56,11.79
Neutral,0.0,1.66,11.83
Neutral,0.0,1.34,10.53
Neutral,0.0,2.43,10.72
Neutral,0.0,0.0,20.0
Neutral,0.0,0.0,15.12
No Modification,0.1,2.08,0.46
No Modification,0.07,0.68,0.31
No Modification,0.1,2.08,0.46
No Modification,0.07,0.68,0.31
Neutral,2.19,0.95,0.88
Neutral,4.27,1.08,0.63
No Modification,1.39,1.12,1.09
No Modification,0.44,2.24,0.85
Neutral,0.0,0.0,1.66
Positive,0.0,0.0,2.62
Positive,0.0,0.0,1.18
Negative,0.0,0.0,1.78
Neutral,1.17,0.0,9.83
Positive,0.93,0.0,7.54
Positive,0.82,0.0,6.32
Negative,0.6,0.0,4.61
Neutral,2.37,2.31,1.87
Negative,3.67,0.0,0.0
Positive,1.94,0.0,0.0
Negative,2.76,0.0,0.0
Neutral,1.84,2.26,2.03
Negative,2.52,2.07,0.0
Neutral,2.0,0.0,0.0
Positive,2.27,0.0,2.0
Neutral,2.22,1.53,3.02
Negative,2.75,0.0,1.66
Positive,2.1,2.11,0.0
Negative,2.2,2.14,0.0
Neutral,1.89,0.0,2.13
Negative,3.99,0.0,2.11
Neutral,2.11,0.0,2.37
No Modification,0.0,1.2,5.55
Neutral,1.21,0.0,5.74
Neutral,0.0,1.4,4.82
No Modification,0.96,2.15,3.54
Neutral,0.92,1.04,3.46
Neutral,0.85,0.82,2.79
No Modification,2.27,0.0,0.0
No Modification,1.98,0.0,0.0
No Modification,3.24,0.0,0.0
No Modification,2.57,0.0,0.0
No Modification,0.23,0.0,0.0
No Modification,0.27,0.0,0.0
Neutral,0.0,3.0,1.9
Neutral,1.4,2.6,2.1
Neutral,0.0,2.7,1.9
Neutral,1.1,2.6,1.8
Neutral,0.0,2.4,1.5
Neutral,1.1,2.2,1.5
Neutral,0.38,3.15,1.7
Neutral,0.29,3.31,1.85
Neutral,0.35,3.81,2.13
Neutral,0.37,6.08,1.9
Neutral,0.26,5.13,1.01
Positive,0.19,3.32,0.99
Positive,0.38,5.77,1.11
Neutral,0.16,4.03,1.21
Neutral,0.14,3.45,1.41
Negative,0.88,2.87,0.56
Negative,0.52,5.58,0.17
No Modification,0.04,9.45,3.13
No Modification,0.25,14.83,3.87
No Modification,2.0,2.28,5.47
No Modification,1.57,9.73,4.27
No Modification,2.65,1.77,8.21
Negative,1.37,0.0,1.78
Negative,0.0,2.97,1.52
Negative,1.37,5.35,3.54
Negative,1.07,8.14,4.71
No Modification,1.08,2.93,3.23
Negative,1.19,3.14,3.33
Neutral,0.6,12.6,4.48
Neutral,0.54,14.72,5.5
Positive,0.63,14.57,5.97
No Modification,0.75,10.61,4.89
Negative,1.2,3.14,2.71
Neutral,0.79,9.54,4.29
Neutral,0.64,15.14,4.52
Positive,0.71,12.83,4.49
Neutral,0.28,5.81,2.88
Neutral,0.35,6.36,5.53
Neutral,0.3,7.27,8.83
Neutral,0.15,10.73,5.76
Neutral,0.11,11.06,3.98
Neutral,0.06,25.56,4.64
Neutral,0.07,32.61,4.19
No Modification,0.97,3.76,1.6
No Modification,0.69,3.6,1.18
Neutral,3.56,3.11,2.3
Neutral,0.0,2.17,1.59
Neutral,2.62,3.25,1.37
Neutral,2.53,4.38,2.51
Positive,0.0,4.0,3.0
Positive,0.0,7.0,5.0
Neutral,0.0,6.0,10.0
Negative,0.0,0.0,5.0
Negative,0.0,8.0,8.0
No Modification,0.13,15.94,1.98
No Modification,0.13,14.46,2.5
Negative,0.12,16.9,2.84
Negative,0.09,10.64,1.82
No Modification,0.02,0.0,0.0
Negative,0.04,0.0,0.0
No Modification,0.03,0.07,0.0
Negative,0.06,0.08,0.01
No Modification,0.02,0.0,0.0
Negative,0.04,0.0,0.0
No Modification,0.03,0.07,0.0
Negative,0.06,0.08,0.01
Positive,0.1,1.7,0.22
Neutral,0.14,15.92,1.05
Neutral,0.23,16.87,0.8
Neutral,0.09,1.43,0.6
Neutral,0.09,0.52,0.44
No Modification,2.37,4.08,3.07
No Modification,1.63,3.63,2.7
Negative,1.57,4.85,1.97
Negative,3.84,2.82,2.14
Negative,0.38,1.38,3.9
Negative,0.27,0.06,1.39
Negative,0.15,0.15,2.86
Negative,0.44,0.24,1.63
