Mod_Charge,Complement C3,Apolipoprotein A-I,Apolipoprotein E
No Modification,1.3174575716872343,6.583607183505795,6.809080282042823
No Modification,1.050860661050897,3.9319729081181496,3.995455757310906
Positive,1.0598159877855349,3.518833979555355,2.7630923164708374
Positive,1.3983557726311397,4.452544197783906,4.432959549876575
Negative,1.5279429412036956,5.154710010373324,4.840987374374823
Negative,1.1259740721335654,2.8231382834948495,2.0442720168617363
No Modification,0.9226142120752087,10.090441927424147,8.097753374824318
No Modification,1.2242632083222422,5.197893847084396,4.627418095561937
No Modification,0.616701288977908,6.7788273393644145,6.92869368889222
No Modification,1.1042393664884154,7.480657862400326,5.9513051025505534
No Modification,1.486938771439815,4.926304449474598,4.575911952217428
Negative,1.0626957253719405,2.908000069487545,2.5741222410060596
Positive,0.8657969920524664,3.6214427873932586,3.334729081895703
Negative,1.0670620616435678,3.4195435664433953,2.6137298346276796
Negative,1.0600873535743445,3.018322966690562,2.6300281403097805
Negative,1.142453167187152,2.7715500982726393,2.4036056190821733
Neutral,0.6115962240713025,4.650838327143232,4.172486772754698
Neutral,1.2307386544808405,4.25658640490757,3.8712930439851534
Neutral,1.1086888704611595,4.128753618181246,3.1152496881762004
Neutral,1.1064345846716237,2.16128447970168,1.8941251543716646
Neutral,0.5935141211213231,3.3797476120034147,2.796791651907837
Neutral,1.2285751435841457,3.388775404713321,2.8407691251438223
Neutral,1.256375274146569,3.061605203596685,2.6347548481332224
Neutral,1.0404027541358192,7.506209841938916,5.728279032232609
Neutral,1.1151012856026161,4.563743707094933,4.170349179358417
Neutral,0.8099061234185672,2.6066048883516157,2.368776890292796
Neutral,1.0681993687692946,5.419381752789311,5.133643895406124
Neutral,1.2546072093675598,4.913355469732768,5.493789222724691
Neutral,0.8505470018331415,2.370585581990383,1.8014117670094092
Neutral,1.06313898812332,4.400656438634541,4.634280877645481
Neutral,0.8271963752434621,6.181416187755347,4.010629227049165
Neutral,1.314632426888495,3.760594755075233,3.5564216882346025
Neutral,1.030106579952352,2.879374845338582,2.02129997715388
Neutral,1.0056944624502624,3.116575925894206,3.4298469242429577
Neutral,0.8429775903638488,3.1117205444179086,2.8107570707982443
Neutral,1.2672515126804855,8.01987343791209,6.62688589152068
Neutral,1.2359437635475135,4.925201881363137,6.11268935293998
Neutral,1.1185995709799572,3.205215064559639,2.8827107871074964
Neutral,0.8215359853410055,8.343457012659975,6.480902981296311
Neutral,1.3319685136416766,5.614089741706777,5.3351046461176495
No Modification,1.1072039977774215,3.0625367254431684,2.827518881807745
No Modification,0.7569247179521797,4.413075758067206,3.6609200276921645
No Modification,0.9796866885395803,6.287694229533154,4.917026891833031
No Modification,0.928510872402975,2.788422451717393,2.3373116977958768
Neutral,1.2195801188153852,5.8068826927541375,5.264169763805551
Neutral,1.3523947823103002,6.03249028662519,5.682740055797872
No Modification,1.1484056988222022,3.120744935639591,2.706589227855995
No Modification,1.2115214818144648,10.392709833252972,9.598825336389497
Neutral,1.2944131505459406,5.55585529145834,4.071864931239255
Positive,0.6274651456374482,2.678484894537465,2.8435282140300835
Positive,1.0273545025497517,4.742868506604536,5.7394808048282195
Negative,1.1750915995379942,4.750551982575634,4.069269909060289
Neutral,1.057438260926932,5.067395751371134,4.361844396737942
Positive,0.5870138716821457,7.179542575152541,6.000575752611711
Positive,1.3998411567227247,5.408118453425912,4.649951273707069
Negative,0.7076023077790503,5.698839278588081,6.596335050210405
Neutral,1.4604694519472237,2.4781974930788824,2.240856340439768
Negative,1.1056206790831378,5.466484589861306,4.661739432867642
Positive,1.5121877439575244,3.820196360626267,3.6989794527548225
Negative,0.9428414791653722,2.8876586839812135,2.0223623597214884
Neutral,1.499749665858898,4.032658417328833,3.9039872176506067
Negative,1.2146446495360381,5.6245687550711025,5.901141200416345
Neutral,1.4739436423438537,4.133320845012283,3.6362620844118143
Positive,1.1391691616977002,4.667560529179242,4.704237773844341
Neutral,0.980834159896266,5.3025163359509,5.602337241648739
Negative,1.0691987875542763,3.779533998542948,3.3282038856296383
Positive,1.246673995141114,2.955555061529885,2.4322541643109505
Negative,1.0767022274113072,6.028753994774585,4.342528749019207
Neutral,0.916381173236084,3.4049402486074856,3.789835611742214
Negative,1.0316433605325597,5.719752114116043,4.53943715498202
Neutral,1.3557515355659866,5.605508758771436,4.823384974679798
No Modification,1.244267821221022,2.376455821774651,2.1083324703795876
Neutral,1.1440106597851627,7.89004640723273,7.337641097157283
Neutral,1.0860069096314207,4.667807865965814,4.4448172517155475
No Modification,1.3309223010386948,4.790809567560299,4.987134013720669
Neutral,0.9389613639042717,4.2231094437339785,4.45828118687409
Neutral,1.0939043253085772,9.283613779963314,8.811962758545373
No Modification,0.937922758493014,5.4155730578322245,5.805883259954836
No Modification,0.6999534363155315,3.1829778352953237,2.3704548605985787
No Modification,0.7917476928474243,6.938070440204814,5.746896890066613
