Mod_Charge,Complement C3
No Modification,1.094400849
No Modification,1.13760959
Positive,1.2174314
Positive,1.182662757
Negative,1.445927905
Negative,1.455768918
No Modification,4.29
No Modification,1.89
No Modification,2.52
No Modification,2.31
No Modification,3.46
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Negative,0.11
Positive,0.04
No Modification,0.0
Negative,0.83
Negative,0.78
Negative,2.72
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
No Modification,0.1
No Modification,0.07
No Modification,0.1
No Modification,0.07
Neutral,2.19
Neutral,4.27
Neutral,0.0
Positive,0.0
Positive,0.0
Neutral,0.0
Negative,0.0
Negative,0.0
Positive,0.0
Neutral,0.0
Neutral,0.0
No Modification,0.0
No Modification,1.39
No Modification,0.44
Neutral,0.0
Positive,0.0
Positive,0.0
Negative,0.0
Neutral,1.17
Positive,0.93
Positive,0.82
Negative,0.6
Positive,0.0
Neutral,2.37
Negative,3.67
Positive,1.94
Negative,2.76
Neutral,1.84
Negative,2.52
Neutral,2.0
Positive,2.27
Neutral,2.22
Negative,2.75
Positive,2.1
Negative,2.2
Neutral,1.89
Negative,3.99
Neutral,2.11
No Modification,0.0
Neutral,1.21
Neutral,0.0
No Modification,0.96
Neutral,0.92
Neutral,0.85
No Modification,2.27
No Modification,1.98
No Modification,3.24
No Modification,2.57
Neutral,0.0
Neutral,0.0
No Modification,0.23
No Modification,0.27
Neutral,0.0
Neutral,1.4
Neutral,0.0
Neutral,1.1
Neutral,0.0
Neutral,1.1
Neutral,0.38
Neutral,0.29
Neutral,0.35
Neutral,0.37
Neutral,0.26
Positive,0.19
Positive,0.38
Neutral,0.16
Neutral,0.14
Negative,0.88
Negative,0.52
No Modification,0.04
No Modification,0.25
No Modification,0.0
No Modification,0.0
No Modification,0.0
No Modification,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
No Modification,0.0
No Modification,0.0
No Modification,0.0
No Modification,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
Neutral,0.0
No Modification,2.0
No Modification,1.57
No Modification,2.65
Negative,1.37
Negative,0.0
Negative,1.37
Negative,1.07
No Modification,1.08
Negative,1.19
Neutral,0.6
Neutral,0.54
Positive,0.63
No Modification,0.75
Negative,1.2
Neutral,0.79
Neutral,0.64
Positive,0.71
No Modification,0.0
No Modification,0.0
No Modification,0.0
Neutral,0.28
Neutral,0.35
Neutral,0.3
Neutral,0.15
Neutral,0.11
Neutral,0.06
Neutral,0.07
No Modification,0.97
No Modification,0.69
Neutral,3.56
Neutral,0.0
Neutral,2.62
Neutral,2.53
Positive,0.0
Positive,0.0
Neutral,0.0
Negative,0.0
Negative,0.0
No Modification,0.13
No Modification,0.13
Negative,0.12
Negative,0.09
No Modification,0.02
Negative,0.04
No Modification,0.03
Negative,0.06
No Modification,0.02
Negative,0.04
No Modification,0.03
Negative,0.06
Positive,0.1
Neutral,0.14
Neutral,0.23
Neutral,0.09
Neutral,0.09
No Modification,2.37
No Modification,1.63
Negative,1.57
Negative,3.84
Negative,0.38
Negative,0.27
Negative,0.15
Negative,0.44
